Code,Name,Image name,Parent Category Code (optional),Urbanpiper Category,Tax Rate (%)
"PICKLE ,SAUCE & CHATNI  12%GST","PICKLE ,SAUCE & CHATNI  12%GST",,OUTSOURCED ITEMS,,
"PICKLE ,SAUCE & CHATNI  5%GST","PICKLE ,SAUCE & CHATNI  5%GST",,OUTSOURCED ITEMS,,
PIZZA 5%GST,PIZZA 5%GST,,BAKERY ITEMS,,
PIZZA S 5%GST,PIZZA S 5%GST,,SNACKS & CHAT ITEM,,
PLATE 18%GST,PLATE 18%GST,,PACKING MATERIAL,,
PLATE 5%GST,PLATE 5%GST,,PACKING MATERIAL,,
POHA 0%GST,POHA 0%GST,,RAW MATERIAL,,
POPCORN 18%GST,POPCORN 18%GST,,OUTSOURCED ITEMS,,
POUCH 18%GST,POUCH 18%GST,,PACKING MATERIAL,,
POWDER 0%GST,POWDER 0%GST,,RAW MATERIAL,,
POWDER 12%GST,POWDER 12%GST,,RAW MATERIAL,,
POWDER 5%GST,POWDER 5%GST,,RAW MATERIAL,,
PUDDING 18%GST,PUDDING 18%GST,,OUTSOURCED ITEMS,,
PULP 12%GST,PULP 12%GST,,RAW MATERIAL,,
PURI 5%GST,PURI 5%GST,,NAMKEEN,,
RAW MASALA 5%GST,RAW MASALA 5%GST,,RAW MATERIAL,,
RAW MATERIAL,RAW MATERIAL,,,,
RAWA 0%GST,RAWA 0%GST,,RAW MATERIAL,,
RAWA 5%GST,RAWA 5%GST,,RAW MATERIAL,,
RICE 0%GST,RICE 0%GST,,RAW MATERIAL,,
RITHA 5%GST,RITHA 5%GST,,RAW MATERIAL,,
ROLL 18%GST,ROLL 18%GST,,PACKING MATERIAL,,
ROLL 5%GST,ROLL 5%GST,,SWEETS,,
ROLL S 5%GST,ROLL S 5%GST,,SNACKS & CHAT ITEM,,
ROSE WATER 0%GST,ROSE WATER 0%GST,,RAW MATERIAL,,
RUSK 5%GST,RUSK 5%GST,,BAKERY ITEMS,,
SABUDANA 5%GST,SABUDANA 5%GST,,RAW MATERIAL,,
SALI 5%GST,SALI 5%GST,,NAMKEEN,,
SALLI 12%GST,SALLI 12%GST,,RAW MATERIAL,,
SALLI 5%GST,SALLI 5%GST,,RAW MATERIAL,,
SALT 0%GST,SALT 0%GST,,RAW MATERIAL,,
SALT 12%GST,SALT 12%GST,,RAW MATERIAL,,
SALT 18%GST,SALT 18%GST,,RAW MATERIAL,,
SAMOSA 12%GST,SAMOSA 12%GST,,NAMKEEN,,
SAMOSA 5%GST,SAMOSA 5%GST,,NAMKEEN,,
SAMOSA S 5%GST,SAMOSA S 5%GST,,SNACKS & CHAT ITEM,,
SANDWICH 5%GST,SANDWICH 5%GST,,SNACKS & CHAT ITEM,,
SAUCE 12%GST,SAUCE 12%GST,,RAW MATERIAL,,
SAUCE-O 12%GST,SAUCE-O 12%GST,,OUTSOURCED ITEMS,,
SEVAI 5%GST,SEVAI 5%GST,,RAW MATERIAL,,
SHARBAT 18%GST,SHARBAT 18%GST,,OUTSOURCED ITEMS,,
SHENGDANA 5%GST,SHENGDANA 5%GST,,RAW MATERIAL,,
SHEV 12%GST,SHEV 12%GST,,NAMKEEN,,
SHING BHUJIYA 12%GST,SHING BHUJIYA 12%GST,,NAMKEEN,,
SNACKS & CHAT ITEM,SNACKS & CHAT ITEM,,,,
SOANPAPDI 5%GST,SOANPAPDI 5%GST,,SWEETS,,
SOAP 18%GST,SOAP 18%GST,,RAW MATERIAL,,
SODA 12%GST,SODA 12%GST,,RAW MATERIAL,,
SODA 5%GST,SODA 5%GST,,RAW MATERIAL,,
SOYAWADI 12%GST,SOYAWADI 12%GST,,RAW MATERIAL,,
SPICES 18%GST,SPICES 18%GST,,RAW MATERIAL,,
SPICES 5%GST,SPICES 5%GST,,RAW MATERIAL,,
SQUASH 18%GST,SQUASH 18%GST,,OUTSOURCED ITEMS,,
STICKER RIBBON 18%GST,STICKER RIBBON 18%GST,,PACKING MATERIAL,,
STICKS 5%GST,STICKS 5%GST,,NAMKEEN,,
SUGAR 18%GST,SUGAR 18%GST,,RAW MATERIAL,,
SUGAR 5%GST,SUGAR 5%GST,,RAW MATERIAL,,
SWEETS,SWEETS,,,,
SYRUP 18%GST,SYRUP 18%GST,,OUTSOURCED ITEMS,,
TEA POWDER 5%GST,TEA POWDER 5%GST,,RAW MATERIAL,,
TOMATO DISCS 5%GST,TOMATO DISCS 5%GST,,OUTSOURCED ITEMS,,
TOMATO STICKS 5%GST,TOMATO STICKS 5%GST,,OUTSOURCED ITEMS,,
TUTTI FRUTI 12%GST,TUTTI FRUTI 12%GST,,RAW MATERIAL,,
TWISTER 12%GST,TWISTER 12%GST,,NAMKEEN,,
Unknown 0%GST,Unknown 0%GST,,RAW MATERIAL,,
Unknown 12%GST,Unknown 12%GST,,RAW MATERIAL,,
Unknown 18%GST,Unknown 18%GST,,RAW MATERIAL,,
Unknown 3%GST,Unknown 3%GST,,RAW MATERIAL,,
Unknown 5%GST,Unknown 5%GST,,RAW MATERIAL,,
UPWAS 5%GST,UPWAS 5%GST,,OUTSOURCED ITEMS,,
UTTAPA 5%GST,UTTAPA 5%GST,,SNACKS & CHAT ITEM,,
VADA 5%GST,VADA 5%GST,,SNACKS & CHAT ITEM,,
VADA MASALA 5%GST,VADA MASALA 5%GST,,SNACKS & CHAT ITEM,,
VADA PAV 5%GST,VADA PAV 5%GST,,SNACKS & CHAT ITEM,,
VATANA 0%GST,VATANA 0%GST,,RAW MATERIAL,,
VEGETABLE 0%GST,VEGETABLE 0%GST,,RAW MATERIAL,,
VEGETABLE 5%GST,VEGETABLE 5%GST,,RAW MATERIAL,,
VINEGAR 18%GST,VINEGAR,,RAW MATERIAL,,
WAFERS -O 12%GST,WAFERS -O 12%GST,,OUTSOURCED ITEMS,,
WAFERS -O 18%GST,WAFERS -O 18%GST,,OUTSOURCED ITEMS,,
WAFERS -O 5%GST,WAFERS -O 5%GST,,OUTSOURCED ITEMS,,
WAFERS 5%GST,WAFERS 5%GST,,NAMKEEN,,
WATER  18%GST,WATER  18%GST,,OUTSOURCED ITEMS,,
WATER -O 18%GST,WATER -O 18%GST,,OUTSOURCED ITEMS,,
WATI 18%GST,WATI 18%GST,,PACKING MATERIAL,,
YEAST 12%GST,YEAST,,RAW MATERIAL,,
